Feature,Importance
MonthlyIncome,0.07038642051277523
Age,0.057083808859268954
DailyRate,0.05178804442770926
TotalWorkingYears,0.04952257095195785
EmployeeNumber,0.045731232671750145
YearsAtCompany,0.04345651091256873
DistanceFromHome,0.0428548816993741
MonthlyRate,0.04171807075018087
HourlyRate,0.04120161620942169
YearsWithCurrManager,0.03590036060737481
NumCompaniesWorked,0.034832183989560735
StockOptionLevel,0.03282321414488744
OverTimeFlag,0.03154065178809202
PercentSalaryHike,0.030701359187440727
JobRole,0.029560358774381762
