Model,AUC_ROC,AUPRC,Recall,F1
Logistic Regression,0.8154879834611077,0.6183133812507905,0.8297872340425532,0.41711229946524064
Random Forest,0.7893875441467826,0.4370038481753938,0.5957446808510638,0.49557522123893805
Gradient Boosting,0.791024205357912,0.4708644034781507,0.6170212765957447,0.47540983606557374
AdaBoost,0.8161771039710569,0.5069755480786559,0.8936170212765957,0.38181818181818183
Stacking Classifier,0.7969678697562236,0.4555703623391178,0.574468085106383,0.5046728971962616
Weighted Ensemble,0.8159186837798259,0.5718824505483101,0.8085106382978723,0.4810126582278481
